Ticker,retorno_medio_anual
AAPL,0.3069662506909208
MSFT,0.22684263342777575
AMZN,0.021915868976928692
GOOGL,0.12879944235001184
META,-0.030024300272631494
NVDA,0.3663490845348616
TSLA,0.44662747056557217
BRK-B,0.10530379139715071
JPM,0.10576300777168819
JNJ,0.10749195937265232
V,0.11832452841701546
PG,0.1522878245800341
UNH,0.2096884789644739
HD,0.17545848556115662
MA,0.15701396187157793
DIS,-0.05365262953259917
ADBE,0.10122537182705116
CRM,-0.005525217600590103
NFLX,0.024236788711844946
PFE,0.09232918795346445
KO,0.10739441046211705
PEP,0.15411991038655345
CSCO,0.05632926124738664
XOM,0.17050476306170942
WMT,0.12164036721294902
