,0
AAPL,0.30915700867722484
MSFT,0.2431415518333228
GOOGL,0.2101714666436394
AMZN,0.1718413818494075
META,0.24008088813241973
NVDA,0.6029520467662801
TSLA,0.48889623752926203
AVGO,0.3918073691657958
CSCO,0.08205820453772715
ADBE,0.11155073620908962
JPM,0.17160400937227085
V,0.14731600237446532
MA,0.17119448763495632
PG,0.12295099038984762
KO,0.07567245734817914
PEP,0.08152366549409266
JNJ,0.04582071762126289
WMT,0.18928783635197172
DIS,0.006682991557563754
PFE,-0.030868565556598913
SAN.MC,0.056218511614743394
BBVA.MC,0.168736160323048
TEF.MC,-0.027904601474793445
ITX.MC,0.16177927987637927
REP.MC,0.022219480994379957
IBE.MC,0.1452181780745001
CABK.MC,0.13334139252312496
SAB.MC,0.14328000442327246
ACS.MC,0.12829895029290536
FER.MC,0.15925719078877745
NFLX,0.19736283272221197
INTC,-0.11632928219820525
AMD,0.3045750732347773
QCOM,0.18510436091660173
TXN,0.1390864155690083
HON,0.10822896296464171
AMGN,0.07868119716829972
SBUX,0.07610057226707616
MDLZ,0.08632085861056525
GILD,0.09984949013531565
NKE,0.012361547065930536
ORCL,0.2277583416502539
IBM,0.15819851651341812
GE,0.24369545390612607
CAT,0.1940600930063766
GS,0.219131357885484
MS,0.21566951107580395
AXP,0.19801229597924835
BAC,0.11578407541013809
C,0.0801392282997348
