Date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,BRK-B,JPM,JNJ,V,PG,UNH,HD,MA,DIS,ADBE,CRM,NFLX,PFE,KO,PEP,CSCO,XOM,WMT
2019-01-02,37.503719329833984,94.39714813232422,76.95649719238281,52.30173110961914,134.62353515625,3.376983404159546,20.674667358398438,202.8000030517578,80.83651733398438,104.38787078857422,126.32945251464844,75.34825134277344,215.4531707763672,144.20375061035156,181.85243225097656,105.17745971679688,224.57000732421875,133.58871459960938,26.766000747680664,29.294357299804688,37.582706451416016,87.60576629638672,34.472198486328125,50.00183868408203,27.967041015625
2019-01-03,33.7680778503418,90.92448425292969,75.01399993896484,50.85320281982422,130.7142333984375,3.1729562282562256,20.02400016784668,191.66000366210938,79.68768310546875,102.7291259765625,121.77696990966797,74.81995391845703,209.57774353027344,141.02542114257812,173.6482391357422,102.62934875488281,215.6999969482422,128.51319885253906,27.1200008392334,28.474781036376953,37.35044479370117,86.78807830810547,33.21851348876953,49.234127044677734,27.823230743408203
2019-01-04,35.20961380004883,95.15331268310547,78.76950073242188,53.46163558959961,136.87588500976562,3.3762400150299072,21.179332733154297,195.1999969482422,82.62541198730469,104.45326232910156,127.02323150634766,76.34706115722656,212.02877807617188,145.2158203125,181.87158203125,105.7951889038086,226.19000244140625,135.9638671875,29.756999969482422,29.125019073486328,38.09521484375,88.56779479980469,34.714847564697266,51.04937744140625,27.997011184692383
2019-01-07,35.131248474121094,95.27466583251953,81.47550201416016,53.35502243041992,136.97508239746094,3.5549800395965576,22.33066749572754,196.91000366210938,82.68283081054688,103.78321075439453,129.3137664794922,76.0416488647461,212.43580627441406,148.07627868652344,183.27090454101562,106.71212768554688,229.25999450683594,140.16217041015625,31.534000396728516,29.28080940246582,37.59870529174805,87.80620574951172,34.949378967285156,51.31483840942383,28.326601028442383
2019-01-08,35.80095672607422,95.96546173095703,82.8290023803711,53.823646545410156,141.42022705078125,3.466477155685425,22.356666564941406,196.30999755859375,82.52693939208984,106.19376373291016,130.0170135498047,76.3222885131836,215.27618408203125,148.78724670410156,184.60543823242188,107.54220581054688,232.67999267578125,143.61155700683594,32.027000427246094,29.416282653808594,38.023136138916016,88.64793395996094,35.23248291015625,51.687931060791016,28.524349212646484
2019-01-09,36.4089241027832,97.33773040771484,82.97100067138672,53.6391716003418,143.10699462890625,3.5346524715423584,22.568666458129883,196.3699951171875,82.3874282836914,105.35208129882812,131.5472412109375,75.07585906982422,215.58584594726562,150.32620239257812,187.95616149902344,108.74869537353516,235.42999267578125,143.87765502929688,31.996000289916992,29.355316162109375,37.29439163208008,86.17080688476562,35.038360595703125,51.96059036254883,28.43146324157715
2019-01-10,36.525291442871094,96.7122573852539,82.81099700927734,53.499332427978516,143.0771942138672,3.6003472805023193,22.99799919128418,196.5800018310547,82.37921905517578,105.98945617675781,131.79437255859375,75.2574462890625,216.67425537109375,149.7658233642578,189.0890350341797,108.87417602539062,237.77000427246094,144.91244506835938,32.465999603271484,28.657670974731445,37.694801330566406,86.69989776611328,34.97366714477539,51.69511795043945,28.452438354492188
2019-01-11,36.16667556762695,95.96546173095703,82.02799987792969,52.78721618652344,142.68035888671875,3.689594268798828,23.150667190551758,196.2899932861328,81.9853515625,106.02214813232422,131.21461486816406,75.75274658203125,219.15187072753906,150.05857849121094,188.08091735839844,108.72938537597656,237.5500030517578,145.41505432128906,33.75899887084961,29.043743133544922,37.91102600097656,86.70791625976562,35.175865173339844,51.458335876464844,28.416488647460938
2019-01-14,35.622840881347656,95.26532745361328,80.8604965209961,52.1445198059082,144.25794982910156,3.729506015777588,22.293333053588867,195.77999877929688,82.83053588867188,104.82096862792969,130.30221557617188,75.24092864990234,219.4969024658203,149.55670166015625,187.62969970703125,108.50740051269531,234.55999755859375,143.93678283691406,33.29399871826172,28.698312759399414,37.758880615234375,86.03453063964844,34.949378967285156,51.393760681152344,28.449447631835938
2019-01-15,36.35192108154297,98.02853393554688,83.72799682617188,53.88018035888672,147.79022216796875,3.715376377105713,22.961999893188477,196.94000244140625,83.43777465820312,105.70348358154297,130.53025817871094,75.95085144042969,227.29244995117188,147.59959411621094,188.67617797851562,107.87036895751953,242.36000061035156,147.03135681152344,35.4640007019043,28.94214630126953,38.09521484375,87.37330627441406,35.60454177856445,51.42247772216797,28.838956832885742
